,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Country_name,Continent
0,PISAMATH,BOY,MEANSCORE,A,2003,527.0,Australia,OC
1,PISAMATH,BOY,MEANSCORE,A,2006,527.0,Australia,OC
2,PISAMATH,BOY,MEANSCORE,A,2009,519.0,Australia,OC
3,PISAMATH,BOY,MEANSCORE,A,2012,510.115,Australia,OC
4,PISAMATH,BOY,MEANSCORE,A,2015,497.0,Australia,OC
5,PISAMATH,BOY,MEANSCORE,A,2018,494.0,Australia,OC
6,PISAMATH,GIRL,MEANSCORE,A,2003,522.0,Australia,OC
7,PISAMATH,GIRL,MEANSCORE,A,2006,513.0,Australia,OC
8,PISAMATH,GIRL,MEANSCORE,A,2009,509.0,Australia,OC
9,PISAMATH,GIRL,MEANSCORE,A,2012,497.821,Australia,OC
10,PISAMATH,GIRL,MEANSCORE,A,2015,491.0,Australia,OC
11,PISAMATH,GIRL,MEANSCORE,A,2018,488.0,Australia,OC
12,PISAMATH,BOY,MEANSCORE,A,2003,509.0,Austria,EU
13,PISAMATH,BOY,MEANSCORE,A,2006,517.0,Austria,EU
14,PISAMATH,BOY,MEANSCORE,A,2012,516.682,Austria,EU
15,PISAMATH,BOY,MEANSCORE,A,2015,510.0,Austria,EU
16,PISAMATH,BOY,MEANSCORE,A,2018,505.0,Austria,EU
17,PISAMATH,GIRL,MEANSCORE,A,2003,502.0,Austria,EU
18,PISAMATH,GIRL,MEANSCORE,A,2006,494.0,Austria,EU
19,PISAMATH,GIRL,MEANSCORE,A,2012,494.462,Austria,EU
20,PISAMATH,GIRL,MEANSCORE,A,2015,483.0,Austria,EU
21,PISAMATH,GIRL,MEANSCORE,A,2018,492.0,Austria,EU
22,PISAMATH,BOY,MEANSCORE,A,2003,533.0,Belgium,EU
23,PISAMATH,BOY,MEANSCORE,A,2006,524.0,Belgium,EU
24,PISAMATH,BOY,MEANSCORE,A,2009,526.0,Belgium,EU
25,PISAMATH,BOY,MEANSCORE,A,2012,520.081,Belgium,EU
26,PISAMATH,BOY,MEANSCORE,A,2015,514.0,Belgium,EU
27,PISAMATH,BOY,MEANSCORE,A,2018,514.0,Belgium,EU
28,PISAMATH,GIRL,MEANSCORE,A,2003,525.0,Belgium,EU
29,PISAMATH,GIRL,MEANSCORE,A,2006,517.0,Belgium,EU
30,PISAMATH,GIRL,MEANSCORE,A,2009,504.0,Belgium,EU
31,PISAMATH,GIRL,MEANSCORE,A,2012,508.935,Belgium,EU
32,PISAMATH,GIRL,MEANSCORE,A,2015,500.0,Belgium,EU
33,PISAMATH,GIRL,MEANSCORE,A,2018,502.0,Belgium,EU
34,PISAMATH,BOY,MEANSCORE,A,2003,541.0,Canada,'NA'
35,PISAMATH,BOY,MEANSCORE,A,2006,534.0,Canada,'NA'
36,PISAMATH,BOY,MEANSCORE,A,2009,533.0,Canada,'NA'
37,PISAMATH,BOY,MEANSCORE,A,2012,523.154,Canada,'NA'
38,PISAMATH,BOY,MEANSCORE,A,2015,520.0,Canada,'NA'
39,PISAMATH,BOY,MEANSCORE,A,2018,514.0,Canada,'NA'
40,PISAMATH,GIRL,MEANSCORE,A,2003,530.0,Canada,'NA'
41,PISAMATH,GIRL,MEANSCORE,A,2006,520.0,Canada,'NA'
42,PISAMATH,GIRL,MEANSCORE,A,2009,521.0,Canada,'NA'
43,PISAMATH,GIRL,MEANSCORE,A,2012,513.022,Canada,'NA'
44,PISAMATH,GIRL,MEANSCORE,A,2015,511.0,Canada,'NA'
45,PISAMATH,GIRL,MEANSCORE,A,2018,510.0,Canada,'NA'
